difficulty,phonetic_focus,sentence
beginner,th_sound,The three thin thieves thought through their plan.
beginner,th_sound,This thing is thicker than that thing.
beginner,ship_sheep,The ship sailed past the sheep on the shore.
beginner,ship_sheep,The sheep were shipped across the deep sea.
beginner,r_sound,Red lorry yellow lorry round the corner.
beginner,l_sound,Lily ladles little Letty's lentil soup.
intermediate,v_w_sound,Victor wore a very warm vest in winter.
intermediate,v_w_sound,We viewed the valley from the village.
intermediate,short_long_vowels,The big pig bit the pit and spit.
intermediate,short_long_vowels,He beat the bit with his feet.
intermediate,consonant_clusters,The sixth sick sheikh's sixth sheep is sick.
intermediate,consonant_clusters,She sells seashells by the seashore.
advanced,minimal_pairs,They're there with their thirty-three things.
advanced,minimal_pairs,The weather whether we go is uncertain.
advanced,rhythm_stress,The beautiful butterfly flew above the colorful garden.
advanced,rhythm_stress,I appreciate your participation in this organization.
advanced,intonation,Did you see the movie? Did you see the movie?
advanced,complex_clusters,The strong spring brings fresh green growth.
advanced,weak_forms,I would have gone if I could have known.
advanced,connected_speech,What are you going to do about it?
